Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SampleAPITesting,,,2018-12-31 12:11:38,2018-12-31 12:11:51,13.377s,FAILED
,,,,,,
Test Cases/UserRestTest/UserData,,,2018-12-31 12:11:38,2018-12-31 12:11:44,5.229s,PASSED
"restresponse = sendRequestAndVerify(findTestObject(""UserRestService/ListUsers""))",,,2018-12-31 12:11:39,2018-12-31 12:11:43,4.084s,PASSED
"verifyResponseStatusCode(restresponse, 200)",,,2018-12-31 12:11:43,2018-12-31 12:11:43,0.090s,PASSED
"verifyElementPropertyValue(restresponse, ""data[2].first_name"", ""Tracey"")",,,2018-12-31 12:11:43,2018-12-31 12:11:43,0.317s,PASSED
slurper = new groovy.json.JsonSlurper(),,,2018-12-31 12:11:43,2018-12-31 12:11:43,0.050s,PASSED
result = slurper.parseText(restresponse.getResponseBodyContent()),,,2018-12-31 12:11:43,2018-12-31 12:11:44,0.096s,PASSED
UserName = first_name,,,2018-12-31 12:11:44,2018-12-31 12:11:44,0.068s,PASSED
"println(""Username is:"" + UserName)",,,2018-12-31 12:11:44,2018-12-31 12:11:44,0.040s,PASSED
,,,,,,
Test Cases/UserRestTest/UserPostData,,,2018-12-31 12:11:44,2018-12-31 12:11:45,1.549s,PASSED
"postresponse = sendRequest(findTestObject(""UserRestService/PostUserData""))",,,2018-12-31 12:11:44,2018-12-31 12:11:45,1.164s,PASSED
"verifyElementPropertyValue(postresponse, ""name"", ""Tracey"")",,,2018-12-31 12:11:45,2018-12-31 12:11:45,0.057s,PASSED
slurper = new groovy.json.JsonSlurper(),,,2018-12-31 12:11:45,2018-12-31 12:11:45,0.003s,PASSED
result = slurper.parseText(postresponse.getResponseBodyContent()),,,2018-12-31 12:11:45,2018-12-31 12:11:45,0.000s,PASSED
a = id,,,2018-12-31 12:11:45,2018-12-31 12:11:45,0.000s,PASSED
"println(""Random id value is:"" + a)",,,2018-12-31 12:11:45,2018-12-31 12:11:45,0.000s,PASSED
,,,,,,
Test Cases/CalculatorTests/Addition,,,2018-12-31 12:11:45,2018-12-31 12:11:47,1.886s,PASSED
"soapresponse = sendRequestAndVerify(findTestObject(""CalculatorSoapServices/Addition""))",,,2018-12-31 12:11:45,2018-12-31 12:11:47,1.730s,PASSED
"verifyResponseStatusCode(soapresponse, 200)",,,2018-12-31 12:11:47,2018-12-31 12:11:47,0.004s,PASSED
,,,,,,
Test Cases/CountrySOAPService/CountryServices,,,2018-12-31 12:11:47,2018-12-31 12:11:51,4.235s,FAILED
"CountryList = sendRequest(findTestObject(""CountrySoapServices/CountryListByNames""))",,,2018-12-31 12:11:48,2018-12-31 12:11:49,1.642s,PASSED
"verifyElementText(CountryList, ""ListOfCountryNamesByNameResponse.ListOfCountryNamesByNameResult.tCountryCodeAndName[98].sISOCode"", ""IN"")",,,2018-12-31 12:11:49,2018-12-31 12:11:50,0.525s,PASSED
xml1 = responseBodyContent,,,2018-12-31 12:11:50,2018-12-31 12:11:50,0.101s,PASSED
datavalue = XmlSlurper().parseText(xml1),,,2018-12-31 12:11:50,2018-12-31 12:11:50,0.012s,PASSED
countryCode = sISOCode.text(),,,2018-12-31 12:11:50,2018-12-31 12:11:50,0.002s,PASSED
CountryISOCode = countryCode,,,2018-12-31 12:11:50,2018-12-31 12:11:50,0.000s,PASSED
"println(""Country ISO code is: "" + CountryISOCode)",,,2018-12-31 12:11:50,2018-12-31 12:11:50,0.000s,PASSED
"CountryCurrency = sendRequest(findTestObject(""CountrySoapServices/CountryCurrency""))",,,2018-12-31 12:11:50,2018-12-31 12:11:51,1.465s,PASSED
"verifyElementText(CountryCurrency, ""CountryCurrencyResponse.CountryCurrencyResult.sISOCode"", ""INR"")",,,2018-12-31 12:11:51,2018-12-31 12:11:51,0.044s,FAILED
