Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SampleAPITesting,,,2018-12-27 11:41:47,2018-12-27 11:41:54,7.330s,PASSED
,,,,,,
Test Cases/UserRestTest/UserData,,,2018-12-27 11:41:47,2018-12-27 11:41:52,5.038s,PASSED
"restresponse = sendRequestAndVerify(findTestObject(""UserRestService/ListUsers""))",,,2018-12-27 11:41:48,2018-12-27 11:41:52,4.249s,PASSED
"verifyResponseStatusCode(restresponse, 200)",,,2018-12-27 11:41:52,2018-12-27 11:41:52,0.033s,PASSED
"verifyElementPropertyValue(restresponse, ""data[2].first_name"", ""Tracey"")",,,2018-12-27 11:41:52,2018-12-27 11:41:52,0.092s,PASSED
slurper = new groovy.json.JsonSlurper(),,,2018-12-27 11:41:52,2018-12-27 11:41:52,0.004s,PASSED
result = slurper.parseText(restresponse.getResponseBodyContent()),,,2018-12-27 11:41:52,2018-12-27 11:41:52,0.016s,PASSED
UserName = first_name,,,2018-12-27 11:41:52,2018-12-27 11:41:52,0.020s,PASSED
println(UserName),,,2018-12-27 11:41:52,2018-12-27 11:41:52,0.004s,PASSED
,,,,,,
Test Cases/UserRestTest/UserPostData,,,2018-12-27 11:41:52,2018-12-27 11:41:54,1.682s,PASSED
"postresponse = sendRequest(findTestObject(""UserRestService/PostUserData""))",,,2018-12-27 11:41:53,2018-12-27 11:41:54,1.304s,PASSED
"verifyElementPropertyValue(postresponse, ""name"", ""Tracey"")",,,2018-12-27 11:41:54,2018-12-27 11:41:54,0.016s,PASSED
