Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SampleAPITesting,,,2018-12-26 11:39:05,2018-12-26 11:39:12,6.346s,FAILED
,,,,,,
Test Cases/CalculatorTests/Addition,,,2018-12-26 11:39:06,2018-12-26 11:39:11,5.412s,PASSED
"response = sendRequestAndVerify(findTestObject(""CalculatorSoapServices/Addition""))",,,2018-12-26 11:39:06,2018-12-26 11:39:11,4.419s,PASSED
"verifyResponseStatusCode(response, 200)",,,2018-12-26 11:39:11,2018-12-26 11:39:11,0.026s,PASSED
"verifyElementPropertyValue(response, ""AddResponse.AddResult"", ""9"")",,,2018-12-26 11:39:11,2018-12-26 11:39:11,0.477s,PASSED
,,,,,,
Test Cases/UserRestTest/UserData,,,2018-12-26 11:39:11,2018-12-26 11:39:12,0.326s,FAILED
response = sendRequestAndVerify(findTestObject(null)),,,2018-12-26 11:39:12,2018-12-26 11:39:12,0.034s,FAILED
