Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SampleAPITesting,,,2018-12-31 12:07:03,2018-12-31 12:07:21,18.371s,FAILED
,,,,,,
Test Cases/UserRestTest/UserData,,,2018-12-31 12:07:03,2018-12-31 12:07:08,5.050s,PASSED
"restresponse = sendRequestAndVerify(findTestObject(""UserRestService/ListUsers""))",,,2018-12-31 12:07:04,2018-12-31 12:07:08,4.355s,PASSED
"verifyResponseStatusCode(restresponse, 200)",,,2018-12-31 12:07:08,2018-12-31 12:07:08,0.024s,PASSED
"verifyElementPropertyValue(restresponse, ""data[2].first_name"", ""Tracey"")",,,2018-12-31 12:07:08,2018-12-31 12:07:08,0.076s,PASSED
slurper = new groovy.json.JsonSlurper(),,,2018-12-31 12:07:08,2018-12-31 12:07:08,0.002s,PASSED
result = slurper.parseText(restresponse.getResponseBodyContent()),,,2018-12-31 12:07:08,2018-12-31 12:07:08,0.012s,PASSED
UserName = first_name,,,2018-12-31 12:07:08,2018-12-31 12:07:08,0.019s,PASSED
"println(""Username is:"" + UserName)",,,2018-12-31 12:07:08,2018-12-31 12:07:08,0.008s,PASSED
,,,,,,
Test Cases/UserRestTest/UserPostData,,,2018-12-31 12:07:08,2018-12-31 12:07:09,1.319s,PASSED
"postresponse = sendRequest(findTestObject(""UserRestService/PostUserData""))",,,2018-12-31 12:07:08,2018-12-31 12:07:09,1.036s,PASSED
"verifyElementPropertyValue(postresponse, ""name"", ""Tracey"")",,,2018-12-31 12:07:09,2018-12-31 12:07:09,0.027s,PASSED
slurper = new groovy.json.JsonSlurper(),,,2018-12-31 12:07:09,2018-12-31 12:07:09,0.000s,PASSED
result = slurper.parseText(postresponse.getResponseBodyContent()),,,2018-12-31 12:07:09,2018-12-31 12:07:09,0.004s,PASSED
a = id,,,2018-12-31 12:07:09,2018-12-31 12:07:09,0.004s,PASSED
"println(""Random id value is:"" + a)",,,2018-12-31 12:07:09,2018-12-31 12:07:09,0.000s,PASSED
,,,,,,
Test Cases/CalculatorTests/Addition,,,2018-12-31 12:07:09,2018-12-31 12:07:12,2.850s,PASSED
"soapresponse = sendRequestAndVerify(findTestObject(""CalculatorSoapServices/Addition""))",,,2018-12-31 12:07:10,2018-12-31 12:07:12,2.606s,PASSED
"verifyResponseStatusCode(soapresponse, 200)",,,2018-12-31 12:07:12,2018-12-31 12:07:12,0.004s,PASSED
,,,,,,
Test Cases/CountrySOAPService/CountryServices,,,2018-12-31 12:07:12,2018-12-31 12:07:21,8.646s,FAILED
"CountryList = sendRequest(findTestObject(""CountrySoapServices/CountryListByNames""))",,,2018-12-31 12:07:13,2018-12-31 12:07:15,1.711s,PASSED
"verifyElementText(CountryList, ""ListOfCountryNamesByNameResponse.ListOfCountryNamesByNameResult.tCountryCodeAndName[98].sISOCode"", ""IN"")",,,2018-12-31 12:07:15,2018-12-31 12:07:15,0.422s,PASSED
xml1 = responseBodyContent,,,2018-12-31 12:07:15,2018-12-31 12:07:15,0.100s,PASSED
datavalue = XmlSlurper().parseText(xml1),,,2018-12-31 12:07:15,2018-12-31 12:07:15,0.008s,PASSED
countryCode = sISOCode.text(),,,2018-12-31 12:07:15,2018-12-31 12:07:15,0.017s,PASSED
CountryISOCode = countryCode,,,2018-12-31 12:07:15,2018-12-31 12:07:15,0.000s,PASSED
"out.println(""Country ISO code is: "" + CountryISOCode)",,,2018-12-31 12:07:15,2018-12-31 12:07:15,0.016s,PASSED
"CountryCurrency = sendRequest(findTestObject(""CountrySoapServices/CountryCurrency""))",,,2018-12-31 12:07:15,2018-12-31 12:07:21,5.656s,PASSED
"verifyElementText(CountryCurrency, ""CountryCurrencyResponse.CountryCurrencyResult.sISOCode"", ""INR"")",,,2018-12-31 12:07:21,2018-12-31 12:07:21,0.059s,FAILED
